====== Start ======
Epoch   0 | Train loss: 1.0987 | Validation loss: 1.0987 | Cost: 1.23 min
Epoch   1 | Train loss: 0.9144 | Validation loss: 0.9144 | Cost: 1.23 min
Epoch   2 | Train loss: 0.8526 | Validation loss: 0.8526 | Cost: 1.23 min
Epoch   3 | Train loss: 0.7132 | Validation loss: 0.7132 | Cost: 1.22 min
Epoch   4 | Train loss: 0.6684 | Validation loss: 0.6684 | Cost: 1.23 min
Epoch   5 | Train loss: 0.6600 | Validation loss: 0.6600 | Cost: 1.22 min
Epoch   6 | Train loss: 0.6440 | Validation loss: 0.6440 | Cost: 1.22 min
Epoch   7 | Train loss: 0.6617 | Validation loss: 0.6617 | Cost: 1.22 min
Epoch   8 | Train loss: 0.5680 | Validation loss: 0.5680 | Cost: 1.22 min
Epoch   9 | Train loss: 0.4360 | Validation loss: 0.4360 | Cost: 1.23 min
Epoch  10 | Train loss: 0.5187 | Validation loss: 0.5187 | Cost: 1.23 min
Epoch  11 | Train loss: 0.5201 | Validation loss: 0.5201 | Cost: 1.23 min
Epoch  12 | Train loss: 0.4846 | Validation loss: 0.4846 | Cost: 1.22 min
Epoch  13 | Train loss: 0.4529 | Validation loss: 0.4529 | Cost: 1.22 min
Epoch  14 | Train loss: 0.4379 | Validation loss: 0.4379 | Cost: 1.23 min
Epoch  15 | Train loss: 0.4293 | Validation loss: 0.4293 | Cost: 1.23 min
Epoch  16 | Train loss: 0.4628 | Validation loss: 0.4628 | Cost: 1.23 min
Epoch  17 | Train loss: 0.3760 | Validation loss: 0.3760 | Cost: 1.22 min
Epoch  18 | Train loss: 0.4265 | Validation loss: 0.4265 | Cost: 1.23 min
Epoch  19 | Train loss: 0.4379 | Validation loss: 0.4379 | Cost: 1.23 min
Epoch  20 | Train loss: 0.3610 | Validation loss: 0.3610 | Cost: 1.23 min
Epoch  21 | Train loss: 0.4704 | Validation loss: 0.4704 | Cost: 1.23 min
Epoch  22 | Train loss: 0.4183 | Validation loss: 0.4183 | Cost: 1.22 min
Epoch  23 | Train loss: 0.4005 | Validation loss: 0.4005 | Cost: 1.22 min
Epoch  24 | Train loss: 0.3668 | Validation loss: 0.3668 | Cost: 1.23 min
Epoch  25 | Train loss: 0.3773 | Validation loss: 0.3773 | Cost: 1.23 min
Epoch  26 | Train loss: 0.4609 | Validation loss: 0.4609 | Cost: 1.23 min
Epoch  27 | Train loss: 0.4280 | Validation loss: 0.4280 | Cost: 1.22 min
Epoch  28 | Train loss: 0.4124 | Validation loss: 0.4124 | Cost: 1.23 min
Epoch  29 | Train loss: 0.4279 | Validation loss: 0.4279 | Cost: 1.23 min
Epoch  30 | Train loss: 0.4371 | Validation loss: 0.4371 | Cost: 1.22 min
Epoch  31 | Train loss: 0.4551 | Validation loss: 0.4551 | Cost: 1.23 min
Epoch  32 | Train loss: 0.4068 | Validation loss: 0.4068 | Cost: 1.23 min
Epoch  33 | Train loss: 0.3648 | Validation loss: 0.3648 | Cost: 1.23 min
Epoch  34 | Train loss: 0.4051 | Validation loss: 0.4051 | Cost: 1.23 min
Epoch  35 | Train loss: 0.4085 | Validation loss: 0.4085 | Cost: 1.22 min
Epoch  36 | Train loss: 0.3607 | Validation loss: 0.3607 | Cost: 1.23 min
Epoch  37 | Train loss: 0.4410 | Validation loss: 0.4410 | Cost: 1.23 min
Epoch  38 | Train loss: 0.4720 | Validation loss: 0.4720 | Cost: 1.23 min
Epoch  39 | Train loss: 0.3941 | Validation loss: 0.3941 | Cost: 1.23 min
Epoch  40 | Train loss: 0.4540 | Validation loss: 0.4540 | Cost: 1.22 min
Epoch  41 | Train loss: 0.3636 | Validation loss: 0.3636 | Cost: 1.22 min
Epoch  42 | Train loss: 0.3733 | Validation loss: 0.3733 | Cost: 1.23 min
Epoch  43 | Train loss: 0.3930 | Validation loss: 0.3930 | Cost: 1.23 min
Epoch  44 | Train loss: 0.4028 | Validation loss: 0.4028 | Cost: 1.23 min
Epoch  45 | Train loss: 0.4672 | Validation loss: 0.4672 | Cost: 1.23 min
Epoch  46 | Train loss: 0.4401 | Validation loss: 0.4401 | Cost: 1.23 min
Epoch  47 | Train loss: 0.3587 | Validation loss: 0.3587 | Cost: 1.22 min
Epoch  48 | Train loss: 0.3880 | Validation loss: 0.3880 | Cost: 1.22 min
Epoch  49 | Train loss: 0.4159 | Validation loss: 0.4159 | Cost: 1.22 min
Epoch  50 | Train loss: 0.3981 | Validation loss: 0.3981 | Cost: 1.22 min
Epoch  51 | Train loss: 0.3601 | Validation loss: 0.3601 | Cost: 1.22 min
Epoch  52 | Train loss: 0.4197 | Validation loss: 0.4197 | Cost: 1.23 min
Epoch  53 | Train loss: 0.4174 | Validation loss: 0.4174 | Cost: 1.23 min
Epoch  54 | Train loss: 0.4350 | Validation loss: 0.4350 | Cost: 1.23 min
Epoch  55 | Train loss: 0.3881 | Validation loss: 0.3881 | Cost: 1.22 min
Epoch  56 | Train loss: 0.4063 | Validation loss: 0.4063 | Cost: 1.23 min
Epoch  57 | Train loss: 0.3450 | Validation loss: 0.3450 | Cost: 1.22 min
Epoch  58 | Train loss: 0.4477 | Validation loss: 0.4477 | Cost: 1.24 min
